client_id,onboard_date,city,segment,risk_profile,aum_inr,products_held,tenure_months,sip_active,relationship_manager,churned
CUST0063,2018-11-09,Ahmedabad,Mass,Conservative,344819.0,2,87,1,RM03,1
CUST0064,2015-11-25,Ahmedabad,Affluent,Aggressive,1771698.0,2,123,1,RM02,0
CUST0065,2024-11-07,Kolkata,Mass,Moderate,475984.0,3,14,0,RM11,0
CUST0066,2021-12-23,Delhi,Mass,Aggressive,2384788.0,2,49,1,RM08,1
CUST0067,2021-04-27,Bengaluru,HNI,Aggressive,23023539.0,5,57,1,RM02,0
CUST0068,2015-09-26,Kolkata,Affluent,Moderate,8799857.0,6,125,1,RM18,0
CUST0069,2016-08-21,Pune,Mass,Moderate,305684.0,4,114,0,RM22,0
CUST0070,2014-12-30,Kolkata,Ultra-HNI,Conservative,55476403.0,4,134,1,RM22,0
CUST0071,2018-08-11,Chennai,Mass,Moderate,1023465.0,5,90,1,RM04,0
CUST0072,2023-12-13,Hyderabad,Affluent,Moderate,2703881.0,3,25,1,RM22,1
CUST0073,2014-10-31,Pune,Affluent,Moderate,4757145.0,3,136,1,RM11,0
CUST0074,2017-01-18,Kolkata,HNI,Conservative,12316729.0,6,109,0,RM06,0
CUST0075,2018-02-12,Pune,Mass,Aggressive,1050608.0,3,96,1,RM04,0
CUST0076,2021-10-24,Mumbai,Affluent,Moderate,6135024.0,2,51,0,RM20,0
CUST0077,2016-07-22,Delhi,Affluent,Moderate,7175639.0,1,115,1,RM07,0
CUST0078,2021-02-26,Chennai,Mass,Aggressive,1076722.0,1,59,1,RM17,0
CUST0079,2022-02-21,Pune,HNI,Aggressive,17630118.0,5,47,1,RM14,0
CUST0080,2022-09-19,Ahmedabad,Mass,Conservative,1157899.0,2,40,1,RM24,1
CUST0081,2018-02-12,Bengaluru,Mass,Moderate,482108.0,5,96,1,RM18,0
CUST0082,2018-09-10,Kolkata,Affluent,Moderate,6951628.0,1,89,0,RM20,0
CUST0083,2023-04-17,Pune,Mass,Moderate,225554.0,5,33,1,RM13,0
CUST0084,2021-11-23,Bengaluru,HNI,Moderate,13254457.0,3,50,1,RM14,1
CUST0085,2023-04-17,Delhi,Mass,Moderate,2383385.0,5,33,1,RM04,0
CUST0086,2017-03-19,Hyderabad,Mass,Aggressive,933208.0,5,107,0,RM20,0
CUST0087,2021-11-23,Bengaluru,Affluent,Conservative,6896890.0,4,50,0,RM19,0
CUST0088,2016-09-20,Delhi,HNI,Conservative,12701080.0,6,113,1,RM08,0
CUST0089,2023-03-18,Delhi,Affluent,Moderate,2699358.0,6,34,0,RM04,0
CUST0090,2021-04-27,Delhi,Mass,Moderate,576622.0,5,57,0,RM20,1
CUST0091,2025-09-03,Mumbai,Mass,Aggressive,642691.0,3,4,0,RM20,0
CUST0092,2025-12-02,Delhi,Affluent,Moderate,14122747.0,6,1,1,RM20,0
CUST0093,2025-08-04,Ahmedabad,HNI,Moderate,34996445.0,6,5,1,RM01,0
CUST0094,2025-03-07,Delhi,Affluent,Moderate,5231720.0,3,10,0,RM22,0
CUST0095,2014-12-30,Chennai,Affluent,Aggressive,5108837.0,2,134,1,RM09,0
CUST0096,2022-09-19,Chennai,Mass,Conservative,1011877.0,2,40,0,RM07,0
CUST0097,2019-09-05,Pune,Mass,Conservative,322869.0,6,77,0,RM14,0
CUST0098,2014-09-01,Bengaluru,Mass,Moderate,231793.0,1,138,1,RM22,0
CUST0099,2020-03-03,Kolkata,Mass,Conservative,1003700.0,1,71,1,RM21,1
CUST0100,2021-04-27,Kolkata,Mass,Aggressive,693806.0,4,57,0,RM05,1
CUST0101,2017-05-18,Hyderabad,Affluent,Conservative,2394479.0,6,105,1,RM25,0
CUST0102,2017-02-17,Ahmedabad,Mass,Moderate,210693.0,2,108,0,RM20,0
CUST0103,2024-10-08,Bengaluru,Mass,Aggressive,1090304.0,4,15,0,RM24,0
CUST0104,2014-11-30,Chennai,HNI,Conservative,14998864.0,1,135,1,RM24,0
CUST0105,2024-07-10,Hyderabad,Mass,Conservative,831082.0,5,18,0,RM14,0
CUST0106,2021-11-23,Delhi,Affluent,Conservative,4262099.0,6,50,1,RM01,0
CUST0107,2014-09-01,Mumbai,Affluent,Aggressive,4835567.0,4,138,1,RM02,0
CUST0108,2019-05-08,Ahmedabad,HNI,Aggressive,14426862.0,1,81,0,RM16,0
CUST0109,2019-04-08,Mumbai,HNI,Moderate,19158554.0,1,82,1,RM03,0
CUST0110,2015-11-25,Mumbai,Affluent,Moderate,6768098.0,5,123,1,RM17,0
CUST0111,2020-08-30,Mumbai,Mass,Moderate,573028.0,1,65,1,RM03,0
CUST0112,2018-09-10,Hyderabad,Affluent,Conservative,4103240.0,1,89,1,RM21,1
CUST0113,2019-07-07,Bengaluru,HNI,Conservative,27909738.0,6,79,1,RM07,0
CUST0114,2024-08-09,Delhi,Mass,Aggressive,966213.0,4,17,0,RM03,0
CUST0115,2022-05-22,Kolkata,Affluent,Conservative,2635862.0,4,44,1,RM09,0
CUST0116,2016-11-19,Ahmedabad,Mass,Moderate,656344.0,5,111,1,RM23,1
CUST0117,2022-01-22,Ahmedabad,Affluent,Conservative,3694186.0,3,48,0,RM14,1
CUST0118,2015-03-30,Bengaluru,Mass,Moderate,671914.0,2,131,0,RM25,0
CUST0119,2014-08-02,Mumbai,Affluent,Conservative,10842912.0,4,139,1,RM07,0
CUST0120,2016-11-19,Ahmedabad,Mass,Conservative,812420.0,1,111,1,RM17,0
CUST0121,2025-12-02,Hyderabad,Mass,Conservative,2192768.0,2,1,0,RM05,0
CUST0122,2017-01-18,Ahmedabad,Mass,Aggressive,752471.0,4,109,1,RM11,0
CUST0123,2014-05-04,Delhi,Affluent,Conservative,4496403.0,6,142,0,RM10,0
CUST0124,2017-01-18,Ahmedabad,HNI,Moderate,19766814.0,4,109,1,RM16,0
CUST0125,2018-06-12,Bengaluru,Mass,Moderate,721283.0,5,92,1,RM17,0
CUST0126,2018-09-10,Kolkata,Mass,Conservative,796441.0,2,89,0,RM02,1
CUST0127,2020-02-02,Mumbai,Affluent,Moderate,2855502.0,1,72,1,RM18,1
CUST0128,2023-01-17,Pune,Affluent,Conservative,4334437.0,3,36,0,RM19,0
CUST0129,2020-05-02,Chennai,Mass,Moderate,447720.0,5,69,1,RM10,0
CUST0130,2015-02-28,Ahmedabad,Affluent,Moderate,8680872.0,1,132,1,RM02,0
CUST0131,2024-12-07,Delhi,HNI,Aggressive,6928976.0,6,13,1,RM11,0
CUST0132,2024-06-10,Delhi,Mass,Aggressive,726967.0,2,19,1,RM09,0
CUST0133,2015-08-27,Pune,Mass,Conservative,289337.0,5,126,0,RM20,0
CUST0134,2016-02-23,Kolkata,Mass,Moderate,845828.0,6,120,0,RM04,0
CUST0135,2019-12-04,Ahmedabad,HNI,Moderate,16045559.0,4,74,0,RM08,0
CUST0136,2021-09-24,Mumbai,Affluent,Aggressive,1814106.0,2,52,1,RM19,0
CUST0137,2024-09-08,Mumbai,Mass,Aggressive,1119695.0,2,16,1,RM24,1
CUST0138,2017-12-14,Bengaluru,Ultra-HNI,Moderate,16623492.0,3,98,1,RM15,0
CUST0139,2019-08-06,Mumbai,Mass,Moderate,655438.0,6,78,0,RM01,0
CUST0140,2016-06-22,Chennai,Affluent,Conservative,7206509.0,5,116,1,RM18,0
CUST0141,2021-08-25,Chennai,Affluent,Aggressive,10506901.0,4,53,0,RM01,0
CUST0142,2016-07-22,Ahmedabad,HNI,Aggressive,8242004.0,5,115,1,RM02,0
CUST0143,2014-09-01,Mumbai,Affluent,Conservative,3709944.0,1,138,0,RM17,0
CUST0144,2024-01-12,Bengaluru,Mass,Moderate,1210265.0,1,24,0,RM10,0
CUST0145,2016-11-19,Bengaluru,Mass,Conservative,1256101.0,4,111,1,RM01,0
CUST0146,2018-10-10,Hyderabad,Mass,Conservative,1348832.0,4,88,1,RM11,0
CUST0147,2021-02-26,Bengaluru,HNI,Moderate,81752759.0,2,59,1,RM10,0
CUST0148,2023-06-16,Pune,Mass,Conservative,504115.0,4,31,1,RM16,0
CUST0149,2024-02-11,Kolkata,Affluent,Moderate,6047469.0,1,23,0,RM24,0
CUST0150,2024-08-09,Pune,Mass,Conservative,551344.0,2,17,0,RM03,0
CUST0151,2022-10-19,Pune,Mass,Moderate,225039.0,6,39,1,RM17,1
CUST0152,2019-12-04,Mumbai,Mass,Moderate,634656.0,1,74,1,RM17,1
CUST0153,2019-08-06,Ahmedabad,Affluent,Moderate,1645311.0,4,78,1,RM25,0
CUST0154,2014-04-04,Hyderabad,Mass,Conservative,500761.0,6,143,0,RM10,0
CUST0155,2017-03-19,Delhi,Mass,Conservative,297406.0,5,107,0,RM05,0
CUST0156,2014-05-04,Pune,Mass,Moderate,848913.0,3,142,1,RM23,0
CUST0157,2017-01-18,Chennai,HNI,Moderate,13022002.0,2,109,0,RM02,0
CUST0158,2019-03-09,Ahmedabad,Affluent,Moderate,1845897.0,1,83,1,RM12,1
CUST0159,2016-04-23,Pune,Affluent,Moderate,7932292.0,1,118,0,RM17,0
CUST0160,2016-10-20,Ahmedabad,HNI,Aggressive,14335894.0,4,112,1,RM03,0
CUST0161,2016-05-23,Ahmedabad,Affluent,Conservative,3885197.0,4,117,1,RM08,0
CUST0162,2023-01-17,Delhi,Affluent,Conservative,2877907.0,3,36,0,RM03,0
CUST0163,2017-05-18,Bengaluru,Affluent,Aggressive,9270355.0,2,105,1,RM22,0
CUST0164,2023-04-17,Delhi,Mass,Aggressive,773844.0,1,33,1,RM07,0
CUST0165,2022-03-23,Delhi,Mass,Conservative,475985.0,1,46,1,RM16,0
CUST0166,2017-08-16,Pune,HNI,Aggressive,6973451.0,2,102,0,RM06,0
CUST0167,2020-01-03,Ahmedabad,Mass,Conservative,2652967.0,6,73,0,RM18,0
CUST0168,2016-08-21,Chennai,Mass,Aggressive,1980763.0,2,114,1,RM20,0
CUST0169,2017-06-17,Kolkata,HNI,Moderate,44191653.0,1,104,0,RM02,0
CUST0170,2017-03-19,Pune,Mass,Moderate,452977.0,4,107,1,RM19,1
CUST0171,2024-03-12,Bengaluru,Affluent,Aggressive,3740835.0,1,22,0,RM17,0
CUST0172,2024-09-08,Kolkata,Affluent,Aggressive,6142279.0,3,16,1,RM02,0
CUST0173,2023-01-17,Chennai,Mass,Conservative,407877.0,5,36,1,RM07,1
CUST0174,2021-09-24,Mumbai,Mass,Moderate,386996.0,1,52,0,RM22,0
CUST0175,2016-03-24,Pune,Mass,Moderate,1487411.0,6,119,0,RM12,1
CUST0176,2025-06-05,Ahmedabad,Affluent,Moderate,4780297.0,4,7,1,RM03,0
CUST0177,2019-08-06,Delhi,HNI,Conservative,10793044.0,6,78,0,RM17,0
CUST0178,2016-08-21,Bengaluru,Affluent,Conservative,8321120.0,5,114,1,RM20,0
CUST0179,2021-08-25,Pune,Mass,Aggressive,486356.0,6,53,1,RM11,0
CUST0180,2022-04-22,Ahmedabad,Mass,Moderate,224514.0,4,45,1,RM03,0
CUST0181,2023-07-16,Bengaluru,Affluent,Moderate,2639747.0,1,30,1,RM04,1
CUST0182,2020-11-28,Chennai,Affluent,Moderate,3708986.0,1,62,0,RM10,1
CUST0183,2018-09-10,Pune,Mass,Conservative,752622.0,2,89,1,RM13,1
CUST0184,2019-02-07,Kolkata,Mass,Conservative,732923.0,1,84,1,RM19,0
CUST0185,2015-11-25,Mumbai,Mass,Conservative,1310100.0,5,123,1,RM18,0
CUST0186,2025-12-02,Delhi,Mass,Conservative,585354.0,6,1,1,RM07,0
CUST0187,2022-06-21,Ahmedabad,Affluent,Aggressive,3814161.0,4,43,0,RM18,0
CUST0188,2021-10-24,Hyderabad,HNI,Conservative,39630755.0,2,51,0,RM03,0
CUST0189,2021-04-27,Kolkata,Mass,Conservative,1142381.0,6,57,0,RM05,0
CUST0190,2017-05-18,Mumbai,Mass,Moderate,592993.0,2,105,0,RM20,0
CUST0191,2024-10-08,Mumbai,Mass,Aggressive,783054.0,6,15,1,RM23,1
CUST0192,2022-07-21,Pune,Mass,Conservative,513453.0,5,42,1,RM18,1
CUST0193,2025-05-06,Chennai,Mass,Conservative,351917.0,3,8,0,RM12,0
CUST0194,2019-03-09,Ahmedabad,Mass,,2232919.0,5,83,0,RM23,0
CUST0195,2014-08-02,Chennai,Mass,Moderate,494994.0,4,139,0,RM09,1
CUST0196,2014-06-03,Kolkata,Affluent,Moderate,5795466.0,6,141,1,RM17,0
CUST0197,2025-06-05,Hyderabad,Affluent,Conservative,2141248.0,4,7,1,RM18,0
CUST0198,2024-07-10,Pune,Affluent,Aggressive,7388156.0,3,18,0,RM02,0
CUST0199,2019-03-09,Pune,Mass,,343561.0,1,83,1,RM24,0
CUST0200,2022-10-19,Mumbai,Mass,Aggressive,1678175.0,6,39,1,RM16,1
CUST0201,2023-03-18,Kolkata,Mass,Aggressive,1792131.0,5,34,1,RM07,0
CUST0202,2017-11-14,Ahmedabad,Mass,Moderate,910220.0,1,99,1,RM21,1
CUST0203,2022-04-22,Chennai,Mass,Conservative,710359.0,4,45,1,RM10,0
CUST0204,2018-11-09,Bengaluru,Mass,Moderate,601548.0,5,87,0,RM03,0
CUST0205,2025-07-05,Hyderabad,Ultra-HNI,Moderate,64630124.0,5,6,1,RM17,0
CUST0206,2014-06-03,Pune,Ultra-HNI,Conservative,83088735.0,2,141,1,RM04,0
CUST0207,2024-12-07,Chennai,Affluent,Conservative,5176813.0,1,13,0,RM15,0
CUST0208,2025-08-04,Bengaluru,Affluent,Conservative,8455080.0,6,5,1,RM17,1
CUST0209,2020-12-28,Ahmedabad,Affluent,Aggressive,2973578.0,3,61,1,RM04,0
CUST0210,2015-07-28,Kolkata,Affluent,Moderate,11418960.0,6,127,1,RM20,0
CUST0211,2018-06-12,Hyderabad,Affluent,Moderate,3905428.0,3,92,1,RM12,0
CUST0212,2020-03-03,Chennai,Mass,Moderate,442461.0,5,71,0,RM09,0
CUST0213,2022-09-19,Bengaluru,Ultra-HNI,Moderate,80985151.0,2,40,1,RM03,0
CUST0214,2023-04-17,Chennai,Affluent,Aggressive,6230357.0,4,33,0,RM19,0
CUST0215,2018-03-14,Hyderabad,Mass,Conservative,256574.0,4,95,0,RM05,1
CUST0216,2020-01-03,Mumbai,Mass,Conservative,511821.0,2,73,1,RM05,1
CUST0217,2018-09-10,Pune,Affluent,Moderate,1492127.0,5,89,0,RM07,0
CUST0218,2021-01-27,Hyderabad,HNI,Aggressive,13779623.0,3,60,1,RM12,0
CUST0219,2022-05-22,Delhi,Mass,Aggressive,470893.0,4,44,0,RM22,0
CUST0220,2023-11-13,Bengaluru,Mass,Aggressive,785396.0,1,26,1,RM19,1
CUST0221,2022-06-21,Bengaluru,Mass,Moderate,432377.0,1,43,0,RM19,0
CUST0222,2023-05-17,Ahmedabad,Mass,Conservative,492507.0,5,32,0,RM05,0
CUST0223,2020-03-03,Ahmedabad,Mass,Conservative,1366111.0,6,71,1,RM17,0
CUST0224,2022-07-21,Kolkata,Mass,Moderate,2075362.0,1,42,1,RM09,1
CUST0225,2016-07-22,Pune,Mass,Moderate,401854.0,1,115,1,RM12,1
CUST0226,2019-06-07,Ahmedabad,Mass,Moderate,1168150.0,2,80,1,RM16,0
CUST0227,2022-04-22,Pune,Affluent,Conservative,6098994.0,1,45,0,RM05,0
CUST0228,2025-01-06,Chennai,Affluent,Moderate,1893631.0,2,12,0,RM09,0
CUST0229,2024-07-10,Bengaluru,Mass,Aggressive,431575.0,5,18,0,RM10,1
CUST0230,2024-12-07,Pune,Mass,Conservative,126125.0,5,13,1,RM22,1
CUST0231,2022-02-21,Chennai,Affluent,Moderate,5887263.0,4,47,1,RM25,0
CUST0232,2022-01-22,Chennai,Mass,Conservative,368835.0,3,48,1,RM24,0
CUST0233,2025-05-06,Ahmedabad,Affluent,Moderate,5304151.0,1,8,1,RM14,0
CUST0234,2017-08-16,Ahmedabad,Mass,Moderate,2742455.0,4,102,0,RM17,0
CUST0235,2019-09-05,Hyderabad,Mass,Conservative,1601684.0,6,77,1,RM18,0
CUST0236,2014-06-03,Bengaluru,HNI,Moderate,13104771.0,2,141,1,RM20,0
CUST0237,2015-06-28,Chennai,Mass,,382893.0,4,128,1,RM17,0
CUST0238,2025-11-02,Bengaluru,Mass,Conservative,1357941.0,3,2,1,RM23,0
CUST0239,2017-09-15,Chennai,Mass,Aggressive,383732.0,3,101,1,RM10,0
CUST0240,2014-06-03,Bengaluru,Mass,Moderate,1150213.0,4,141,0,RM18,0
CUST0241,2016-06-22,Chennai,Affluent,Moderate,22188094.0,2,116,0,RM16,0
CUST0242,2017-11-14,Chennai,Affluent,Conservative,7144264.0,2,99,0,RM20,0
CUST0243,2024-04-11,Pune,HNI,Moderate,38322506.0,1,21,0,RM24,1
CUST0244,2015-04-29,Ahmedabad,Mass,Conservative,1199910.0,5,130,0,RM03,0
CUST0245,2016-03-24,Hyderabad,Mass,Conservative,490871.0,6,119,0,RM22,0
CUST0246,2019-08-06,Delhi,HNI,Moderate,23439781.0,3,78,1,RM21,0
CUST0247,2015-01-29,Delhi,Mass,Aggressive,394077.0,4,133,0,RM22,0
CUST0248,2020-07-01,Pune,HNI,Conservative,40621208.0,6,67,1,RM07,0
CUST0249,2019-09-05,Ahmedabad,Affluent,Moderate,2712878.0,5,77,1,RM15,0
CUST0250,2016-08-21,Bengaluru,Mass,Moderate,980565.0,2,114,0,RM02,1
CUST0251,2017-06-17,Mumbai,HNI,Moderate,37235951.0,5,104,0,RM02,0
CUST0252,2019-06-07,Mumbai,Mass,Aggressive,508865.0,3,80,0,RM15,1
CUST0253,2016-09-20,Bengaluru,Affluent,Moderate,3314419.0,6,113,0,RM25,0
CUST0254,2015-04-29,Ahmedabad,Mass,Moderate,607440.0,6,130,0,RM06,0
CUST0255,2018-04-13,Kolkata,Affluent,Conservative,3016184.0,1,94,1,RM20,0
CUST0256,2015-05-29,Kolkata,Affluent,Conservative,5370111.0,6,129,0,RM02,0
CUST0257,2021-01-27,Bengaluru,Mass,Moderate,402724.0,2,60,1,RM02,0
CUST0258,2019-09-05,Ahmedabad,Ultra-HNI,Conservative,41692616.0,3,77,1,RM16,0
CUST0259,2018-04-13,Chennai,Mass,Conservative,900889.0,5,94,1,RM07,0
CUST0260,2019-03-09,Chennai,Mass,Conservative,936587.0,1,83,1,RM03,1
CUST0261,2023-11-13,Ahmedabad,Mass,Conservative,567450.0,1,26,1,RM23,0
CUST0262,2020-07-31,Kolkata,Affluent,Moderate,1992314.0,3,66,0,RM23,0
CUST0263,2024-05-11,Bengaluru,Mass,Conservative,1269729.0,4,20,1,RM01,0
CUST0264,2017-10-15,Pune,Affluent,Conservative,3850523.0,4,100,1,RM25,0
CUST0265,2016-06-22,Bengaluru,Affluent,Moderate,15319141.0,6,116,1,RM01,0
CUST0266,2017-11-14,Hyderabad,Affluent,Moderate,4581432.0,2,99,1,RM19,1
CUST0267,2015-09-26,Delhi,HNI,Aggressive,21531293.0,5,125,0,RM20,0
CUST0268,2018-04-13,Mumbai,HNI,Aggressive,15758289.0,2,94,1,RM08,0
CUST0269,2021-06-26,Ahmedabad,Mass,Aggressive,762391.0,3,55,0,RM04,0
CUST0270,2025-04-06,Mumbai,Affluent,Moderate,33346135.0,4,9,1,RM15,0
CUST0271,2025-08-04,Chennai,Mass,Conservative,550404.0,3,5,1,RM23,0
CUST0272,2014-08-02,Delhi,Mass,Conservative,1345560.0,2,139,0,RM01,0
CUST0273,2016-09-20,Mumbai,Mass,Aggressive,700948.0,2,113,1,RM22,0
CUST0274,2021-12-23,Pune,Mass,Aggressive,1271778.0,6,49,1,RM16,0
CUST0275,2014-09-01,Bengaluru,Mass,Moderate,230453.0,6,138,0,RM25,0
CUST0276,2023-01-17,Kolkata,Mass,Moderate,1943554.0,1,36,1,RM07,0
CUST0277,2016-10-20,Hyderabad,Affluent,Conservative,5944068.0,2,112,1,RM17,0
CUST0278,2023-06-16,Pune,HNI,Conservative,17245728.0,6,31,0,RM12,0
CUST0279,2017-07-17,Pune,Mass,Moderate,1095981.0,1,103,0,RM16,1
CUST0280,2025-03-07,Delhi,Mass,,721791.0,4,10,0,RM05,1
CUST0281,2017-11-14,Chennai,Mass,Moderate,354693.0,2,99,0,RM13,0
CUST0282,2020-07-31,Kolkata,Mass,Moderate,175876.0,6,66,1,RM25,0
CUST0283,2019-02-07,Delhi,Ultra-HNI,Aggressive,181120420.0,5,84,1,RM22,0
CUST0284,2025-07-05,Mumbai,Mass,,589938.0,5,6,0,RM06,0
CUST0285,2021-07-26,Chennai,Mass,Conservative,476027.0,1,54,1,RM02,1
CUST0286,2024-01-12,Ahmedabad,Mass,Moderate,496814.0,1,24,0,RM11,0
CUST0287,2018-09-10,Bengaluru,Mass,Moderate,1492254.0,5,89,1,RM06,0
CUST0288,2025-12-02,Chennai,Affluent,Moderate,3763196.0,2,1,0,RM07,0
CUST0289,2015-03-30,Delhi,Ultra-HNI,Aggressive,94559654.0,3,131,1,RM05,0
CUST0290,2023-11-13,Pune,Affluent,Conservative,4099165.0,1,26,0,RM14,0
CUST0291,2019-10-05,Bengaluru,Mass,Conservative,334434.0,1,76,1,RM03,1
CUST0292,2014-03-05,Delhi,Affluent,Moderate,8089254.0,5,144,1,RM23,0
CUST0293,2021-01-27,Mumbai,HNI,Moderate,36652525.0,2,60,1,RM01,0
CUST0294,2019-08-06,Bengaluru,Mass,Moderate,458959.0,2,78,0,RM05,1
CUST0295,2014-08-02,Delhi,Affluent,Conservative,4826219.0,6,139,1,RM15,0
CUST0296,2025-03-07,Chennai,Affluent,Conservative,5197536.0,5,10,0,RM04,0
CUST0297,2019-05-08,Chennai,Affluent,Moderate,6294325.0,2,81,0,RM13,0
CUST0298,2019-04-08,Chennai,Mass,Moderate,1971983.0,6,82,1,RM02,0
CUST0299,2017-05-18,Bengaluru,Affluent,Conservative,4123495.0,6,105,0,RM22,0
CUST0300,2018-11-09,Mumbai,Affluent,Aggressive,4109517.0,3,87,1,RM15,0
CUST0301,2020-04-02,Kolkata,Affluent,Moderate,4474553.0,3,70,0,RM08,0
